Year,Month,Day,EnergyUse,Temp
2019,7,22,3081.12,79.6
2019,7,23,2491.02,70.7
2019,7,24,1911.42,73.5
2019,7,25,1944.6,74.7
2019,7,26,1966.44,75.7
2019,7,27,1724.52,76.8
2019,7,28,1879.5,79.2
2019,7,29,2588.04,82.3
2019,7,30,2876.58,82.9
2019,7,31,2774.1,75.3
2019,8,1,2350.32,76.6
2019,8,2,1986.18,75.4
2019,8,3,2011.38,77
2019,8,4,1949.64,79.6
2019,8,5,2281.02,76.2
2019,8,6,2688.84,76
2019,8,7,2849.28,74.4
2019,8,8,2477.58,74.7
2019,8,9,2037.84,75.6
2019,8,10,1498.56,72.6
2019,8,11,1338.54,71.1
2019,8,12,1942.92,73.9
2019,8,13,2947.56,75.1
2019,8,14,2855.58,74.5
2019,8,15,2288.16,74.6
2019,8,16,2109.24,75.2
2019,8,17,2230.2,79
2019,8,18,2380.14,79.1
2019,8,19,2693.04,78.6
2019,8,20,2634.66,79
2019,8,21,3014.34,79.2
2019,8,22,2695.98,79.6
2019,8,23,2516.22,68.3
2019,8,24,1298.22,67.1
2019,8,25,1452.78,66.3
2019,8,26,1521.66,64.5
2019,8,27,2002.98,64.9
2019,8,28,2433.9,71.2
2019,8,29,1734.6,72.1
2019,8,30,1718.64,72.7
2019,8,31,1572.48,73.3
2019,9,1,1614.48,69.5
2019,9,2,2124.78,70.2
2019,9,3,1908.48,72.5
2019,9,4,2554.44,76.1
2019,9,5,2024.82,68.8
2019,9,6,2232.3,62.2
2019,9,7,1326.36,65.7
2019,9,8,1519.14,69
2019,9,9,2274.3,69.6
2019,9,10,2339.82,71.2
2019,9,11,2457.42,76.6
2019,9,12,2793.42,74.9
2019,9,13,1634.64,63.4
2019,9,14,1787.1,68.4
2019,9,15,1582.98,73.6
2019,9,16,2565.78,71.1
2019,9,17,1560.72,68.9
2019,9,18,1547.28,61.8
2019,9,19,1309.56,58.2
2019,9,20,1571.22,62.1
2019,9,21,1494.78,68
2019,9,22,1844.64,71.8
2019,9,23,2600.64,77.2
2019,9,24,2082.78,70
2019,9,25,1802.22,65.9
2019,9,26,2074.38,65.6
2019,9,27,1362.9,64.2
2019,9,28,1919.82,71
2019,9,29,1812.72,72.6
2019,9,30,2247.42,64.4
2019,10,1,2197.02,70.2
2019,10,2,2820.3,78.3
2019,10,3,2409.12,59.5
2019,10,4,1629.6,58.6
2019,10,5,1888.74,50.2
2019,10,6,1938.3,61.5
2019,10,7,2316.72,70.6
2019,10,8,2116.8,59.1
2019,10,9,2156.7,54.9
2019,10,10,1751.4,60.1
2019,10,11,1545.18,58.6
2019,10,12,1596.42,58
2019,10,13,1680,57
2019,10,14,1299.9,62.2
2019,10,15,2165.52,55.4
2019,10,16,2806.02,55.2
2019,10,17,2294.46,53.5
2019,10,18,2361.66,51.5
2019,10,19,2567.88,47.3
2019,10,20,2729.58,49
2019,10,21,1857.66,57
2019,10,22,2144.52,58.2
2019,10,23,1726.2,58.2
2019,10,24,2307.06,53.2
2019,10,25,2006.34,53.7
2019,10,26,1669.5,56.5
2019,10,27,1704.78,62.1
2019,10,28,2026.92,58
2019,10,29,2207.94,57.8
2019,10,30,2196.6,60.3
2019,10,31,2434.74,67.9
2019,11,1,2733.36,49.1
2019,11,2,3392.34,42.8
2019,11,3,3503.22,43.2
2019,11,4,3411.24,43.9
2019,11,5,2722.02,51
2019,11,6,3061.8,47.6
2019,11,7,3242.4,47
2019,11,8,4542.72,34.6
2019,11,9,5089.98,31.4
2019,11,10,4340.7,40.4
2019,11,11,2860.2,48.8
2019,11,12,4770.78,39.5
2019,11,13,7074.06,26.7
2019,11,14,6843.06,33.1
2019,11,15,5805.66,39
2019,11,16,6260.52,35.9
2019,11,17,6441.96,35.6
2019,11,18,5567.52,39.2
2019,11,19,4669.14,42
2019,11,20,5066.46,42.2
2019,11,21,4563.3,45.7
2019,11,22,4481.82,46.1
2019,11,23,5727.54,36.9
2019,11,24,5305.02,40.2
2019,11,25,4790.94,42.9
2019,11,26,4208.4,45.9
2019,11,27,3406.2,49.2
2019,11,28,4268.46,45.3
2019,11,29,6123.18,35.3
2019,11,30,6372.24,35.2
2019,12,1,6797.7,32.8
2019,12,2,6758.22,34.3
2019,12,3,6828.36,34
2019,12,4,6367.62,35.8
2019,12,5,6413.82,38
2019,12,6,5992.56,40.1
2019,12,7,6837.18,33.1
2019,12,8,7077.42,30.8
2019,12,9,4701.9,44.8
2019,12,10,3457.02,53
2019,12,11,6288.24,33.6
2019,12,12,6848.94,29.2
2019,12,13,5626.74,38
2019,12,14,3424.68,49.6
2019,12,15,5271.84,41.6
2019,12,16,6313.44,33.9
2019,12,17,6191.64,34.1
2019,12,18,6372.66,31.6
2019,12,19,8044.68,21
2019,12,20,7273.98,25.9
2019,12,21,7338.24,25.7
2019,12,22,6099.66,32.8
2019,12,23,5224.8,40.5
2019,12,24,4897.2,41.5
2019,12,25,5688.48,34.6
2019,12,26,5446.56,36.2
2019,12,27,3621.24,46.8
2019,12,28,3810.66,44.2
2019,12,29,4800.6,39.6
2019,12,30,4762.38,42.4
2019,12,31,4844.28,40
2020,1,1,5806.5,35.7
2020,1,2,5412.54,36.5
2020,1,3,4085.76,44.9
2020,1,4,3528.42,47.2
2020,1,5,5251.26,38.6
2020,1,6,5389.86,38.4
2020,1,7,5726.28,36.6
2020,1,8,5642.28,32.9
2020,1,9,6253.8,27.5
2020,1,10,4611.18,40.3
2020,1,11,2156.7,59.4
2020,1,12,1958.46,60.4
2020,1,13,4346.16,40.1
2020,1,14,4570.86,39.8
2020,1,15,3619.56,44.3
2020,1,16,4021.5,42.9
2020,1,17,6354.18,26.6
2020,1,18,6847.68,24.1
2020,1,19,5059.74,35.6
2020,1,20,6434.82,25.5
2020,1,21,6681.78,24.7
2020,1,22,6162.66,27
2020,1,23,5744.76,31.8
2020,1,24,4615.38,39.5
2020,1,25,4094.16,43.2
2020,1,26,4352.46,39.5
2020,1,27,4068.12,38.7
2020,1,28,4109.28,37.6
2020,1,29,5578.02,35.9
2020,1,30,6088.74,29
2020,1,31,5181.54,36.4
2020,2,1,4748.94,38.9
2020,2,2,4929.12,36.9
2020,2,3,4003.44,44.5
2020,2,4,3648.12,49.7
2020,2,5,5160.96,40.8
2020,2,6,5160.54,39.6
2020,2,7,4460.4,41.4
2020,2,8,5533.5,33.8
2020,2,9,5017.32,36.8
2020,2,10,4434.36,42.6
2020,2,11,3897.6,45.7
2020,2,12,4708.62,40.9
2020,2,13,4933.32,39.5
2020,2,14,6342.42,29.8
2020,2,15,7253.4,21.1
2020,2,16,5433.54,35.2
