Year,Month,Day,NetEnergyUse,EnergyUseIn,EnergyUseOut
2019,6,8,2126.86,833.17,-1293.69
2019,6,9,1948.57,811.12,-1137.45
2019,6,10,1606.5,1295.9,-310.6
2019,6,11,2032.97,921.98,-1110.99
2019,6,12,2402.5,840.41,-1562.09
2019,6,13,2049.38,1161.09,-888.29
2019,6,14,1031.3,813.64,-217.66
2019,6,15,1068.16,824.04,-244.12
2019,6,16,979.65,972.73,-6.92
2019,6,17,1426.96,1161.72,-265.24
2019,6,18,2312.42,1418.46,-893.96
2019,6,19,3189.39,1678.97,-1510.42
2019,6,20,2967.32,1385.36,-1581.96
2019,6,21,1536.89,943.74,-593.15
2019,6,22,1301.89,858.37,-443.52
2019,6,23,1989.53,881.69,-1107.84
2019,6,24,2178.81,1129.22,-1049.59
2019,6,25,2154.58,1310.07,-844.51
2019,6,26,2016.62,1039.18,-977.44
2019,6,27,2389.61,1057.16,-1332.45
2019,6,28,2267.36,1122.02,-1145.34
2019,6,29,2035.85,1156.37,-879.48
2019,6,30,1517.35,955.4,-561.95
2019,7,1,2291.94,1025.65,-1266.29
2019,7,2,1782.28,1189.43,-592.85
2019,7,3,1884.32,1261.87,-622.45
2019,7,4,2062.31,1068.79,-993.52
2019,7,5,1669.85,1198.61,-471.24
2019,7,6,2195.53,1269.74,-925.79
2019,7,7,1721.77,1080.13,-641.64
2019,7,8,1594.53,1403.01,-191.52
2019,7,9,2018.83,1004.86,-1013.97
2019,7,10,2405.33,1115.4,-1289.93
2019,7,11,2555.92,1486.81,-1069.11
2019,7,12,2274.6,1120.44,-1154.16
2019,7,13,1964.31,982.76,-981.55
2019,7,14,1770.93,1020.92,-750.01
2019,7,15,1219.99,1008.63,-211.36
2019,7,16,2067.31,999.78,-1067.53
2019,7,17,2130.01,1190.38,-939.63
2019,7,18,2455.11,1534.68,-920.43
2019,7,19,1734.08,1124.56,-609.52
2019,7,20,1265.33,1197.62,-67.71
2019,7,21,1961.81,1209.58,-752.23
2019,7,22,2191.13,1331.17,-859.96
2019,7,23,2173.46,1429.13,-744.33
2019,7,24,2046.88,1022.82,-1024.06
2019,7,25,2020.41,1013.98,-1006.43
2019,7,26,1752.96,1102.8,-650.16
2019,7,27,1516.08,1010.83,-505.25
2019,7,28,1340.65,1053.36,-287.29
2019,7,29,1681.13,1160.45,-520.68
2019,7,30,1822.59,1237.01,-585.58
2019,7,31,2352.4,1485.21,-867.19
2019,8,1,2188.02,1206.14,-981.88
2019,8,2,1552.01,1024.39,-527.62
2019,8,3,1309.12,1104.07,-205.05
2019,8,4,1326.47,1043.28,-283.19
2019,8,5,1692.5,1110.06,-582.44
2019,8,6,2284.06,1419.1,-864.96
2019,8,7,2839.72,1684.93,-1154.79
2019,8,8,2464.53,1349.13,-1115.4
2019,8,9,1961.49,1146.9,-814.59
2019,8,10,983.74,963.58,-20.16
2019,8,11,1097.79,985.96,-111.83
2019,8,12,1667.91,1054.3,-613.61
2019,8,13,2144.84,1659.12,-485.72
2019,8,14,2355.22,1685.86,-669.36
2019,8,15,1697.19,1162.62,-534.57
2019,8,16,1667.57,1169.27,-498.3
2019,8,17,1721.74,1222.16,-499.58
2019,8,18,1603.34,1271.95,-331.39
2019,8,19,1824.77,1279.21,-545.56
2019,8,20,1345.65,1336.2,-9.45
2019,8,21,2514.95,1515.47,-999.48
2019,8,22,2221.4,1351.67,-869.73
2019,8,23,2215.38,1605.22,-610.16
2019,8,24,1216.52,1034.47,-182.05
2019,8,25,1298.41,1053.34,-245.07
2019,8,26,2092.56,1112.59,-979.97
2019,8,27,2187.03,1203.92,-983.11
2019,8,28,2283.15,1307.9,-975.25
2019,8,29,1901.96,1054.29,-847.67
2019,8,30,1390.72,1031,-359.72
2019,8,31,1709.22,1011.81,-697.41
2019,9,1,1435.48,1009.9,-425.58
2019,9,2,1466.03,1234.18,-231.85
2019,9,3,1108.8,1108.8,0
2019,9,4,2226.12,1289.3,-936.82
2019,9,5,2091.59,1277.62,-813.97
2019,9,6,2033.33,1715.49,-317.84
2019,9,7,1260.9,1000.42,-260.48
2019,9,8,1665.08,1013.67,-651.41
2019,9,9,1543.82,1385.05,-158.77
2019,9,10,1711.74,1281.75,-429.99
2019,9,11,1501.57,1210.5,-291.07
2019,9,12,2635.92,1544.75,-1091.17
2019,9,13,1313.54,1029.74,-283.8
2019,9,14,1985.72,1050.18,-935.54
